rank,id,score
189,4465,392.8583375817032
190,5990,392.6090784593535
191,0563,390.8914120180802
192,4912,390.3153469914476
193,8805,390.17582817842884
194,6585,390.0336951184409
195,2723,388.08995384136847
196,2578,387.4422048585241
197,0925,387.4017734133968
198,2342,387.2002259348274
199,1069,386.9219806771764
200,1554,385.7433387828968
201,0689,384.52016667270163
202,4751,383.7493859225975
203,6436,381.9234389625564
204,2471,381.82572438265424
205,7953,380.80200271843165
206,8363,380.79419759910036
207,0861,380.5193051259632
208,3225,379.8335385076258
209,4802,379.26800260614334
210,4341,379.1741827955844
211,7657,379.1429591636215
212,4643,377.966293064176
213,5630,377.7836738986084
214,7428,377.4097487983737
215,5509,375.1648534103444
216,2747,374.972597925274
217,3891,374.7209970610577
218,0037,373.74386641895336
219,6236,372.7202333194217
220,4881,371.9162033518128
221,8591,371.7361460740002
222,0326,370.49857041583505
223,1948,370.36059553759907
224,9403,369.7810123212278
225,6196,368.4144284398679
226,1083,366.6472348056415
227,3644,366.3832217100713
228,3206,365.12049967623346
229,8211,364.81441593690545
230,8366,364.5349284150537
231,5389,364.458489895937
232,2604,363.7725783721959
233,0889,362.8470933920987
234,0195,362.0374903072267
235,4390,361.9090753614752
236,0528,361.73116222206573
237,2885,361.54468210690607
238,6121,359.6633244867874
239,4440,359.54831254570627
240,6765,359.26589123025417
241,4268,359.0822845289022
242,0751,357.6285614438259
243,5087,356.8017968305458
244,6103,356.70645936751345
245,6519,356.28926766468777
246,0774,356.19570902826365
247,1889,356.16842171802483
248,8078,356.12863269058715
249,5415,355.8882371860975
250,2772,355.003115114386
251,0392,354.9792065779886
252,5637,353.9896133349905
253,1370,353.68249499495926
254,6635,353.62688084376225
255,8861,352.41099362578825
256,5467,352.1492175140513
257,4240,351.6640177812242
258,3477,351.6400736704567
259,4129,351.52331883714766
260,4332,350.900119941518
261,9909,350.7027981229626
262,1491,350.5043719355611
263,2309,350.2329669355241
264,7319,349.98524002835535
265,9721,349.3346680673831
266,9138,349.25076065019937
267,1414,349.24080653583616
268,2813,348.91454921352926
269,6408,348.788101723471
270,9284,347.9358307982116
271,1598,347.22795583071576
272,7925,345.93177740971794
273,5042,345.39083797558374
274,4057,345.3140135167785
275,2367,344.83712392128297
276,4457,344.76556292097774
277,0922,344.7229723883633
278,2069,344.4092547748287
279,6569,344.17928212779935
280,6139,343.93018739668395
281,0797,343.62878263116687
282,6542,343.1864580245316
283,5424,342.9608773747958
284,8934,342.79934771566695
285,1843,342.75660056127884
286,0776,342.56454054265964
287,0229,342.4098770816178
288,7747,341.83922246477397
289,5148,341.53126437930075
290,7837,341.36122098510685
291,3733,341.14761989958293
292,3031,341.0342795952466
293,2485,340.9846988648832
294,2165,340.8742698235574
295,6987,340.57441862167656
296,9730,340.3506046881306
297,7082,340.34613143833985
298,1165,339.32283749540557
299,8286,339.16016137454585
300,0218,338.9475637936176
301,4475,338.57529581852793
302,4984,338.2923990086115
303,7382,338.10798653611613
304,5920,337.90535295412053
305,5377,337.86115314005684
306,5113,337.77910228341386
307,7871,337.6999943832385
308,7309,337.64937737754616
309,6644,337.46210431390745
310,8745,337.4050539949864
311,0127,337.2145860625123
312,0501,336.7872473765803
313,3666,336.69683704246853
314,3930,335.9208646042217
315,9184,335.80013667214644
316,9937,335.60536669065556
317,3077,335.0775586315224
318,6714,335.00266803583435
319,3965,334.9925393482391
320,6286,334.97764410670214
321,1381,334.9244151847139
322,2470,334.6221328492721
323,7311,334.43927120400326
324,0472,334.2148728298222
325,3121,334.18184447016233
326,9404,334.076538712775
327,9674,333.870540717087
328,7974,333.825080998595
329,4204,333.6789909868001
330,0790,332.55777447135574
331,8984,331.9494548377813
332,3260,331.41335742791546
333,9476,331.15245599197533
334,4994,331.0714335348652
335,0115,330.92072356374297
336,3413,330.46021363204653
